Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 473,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Elementary ,Mathematics,Campus F,2,5,3,2,4,Where & how to access student resources and digital resources for Intervention,,
Participant 525,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus F,5,5,5,5,5,Schedule and routines for summer school ,,
Participant 396,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Raul,Elementary ,Summer school ,Campus I,5,5,5,5,5,How to use Amira,,
Participant 424,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus I,5,4,4,5,4,Using the curriculum guides will be critical.,,
Participant 184,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,ELAR/English,Campus I,3,3,3,4,4,I learned more about Zearn. ,,
Participant 461,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus I,4,4,4,4,4,How to use zearn,,
Participant 463,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus I,5,5,5,5,5,Amira's support for bilingual children.,,
Participant 390,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Mathematics,Campus I,5,5,5,5,5,Amira,Thanks,
Participant 405,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus I,5,5,5,5,5,how to effectively use Zearn,,
Participant 451,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus I,5,5,5,5,5,Amira reports.,,
Participant 419,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus D,2,5,4,4,4,Scaffolding for each students needs,,
Participant 540,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Middle ,Social Studies,Campus D,5,4,4,5,4,N/A,,
Participant 298,5/28/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,ELAR/English,Campus L,5,5,4,4,4,Summit K12 ,,
Participant 299,5/28/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,Kindergarten Summer School,Campus L,5,5,5,5,5,"Curriculum for summer school for kindergarten, digital resources use",Great presentation and presenters!,
Participant 300,5/28/2025,Teacher  Summer School GK Curriculum  ,Kim,Elementary ,Summer School ,Campus L,5,5,4,5,5,I learned how to use summit K12,,
Participant 337,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,Kinder - All ,Campus L,5,5,5,5,5,The clarity of the information. SummitK12.,Great presenters!!,
Participant 372,5/28/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,Mathematics,Campus L,5,5,5,5,5,Excellent information,-----,
Participant 383,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,Interventions ,Campus L,4,4,4,4,4,Attendance tracker ,Thank you,
Participant 526,5/28/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,Science of Reading,Campus L,4,4,4,4,4,Campus PK Summer Material,Good job...!,
Participant 311,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus M,5,5,5,5,5,How students may utilize the Amira “Student Help” tool guide. ,N/A,
Participant 399,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Social Studies,Campus S,5,5,5,5,4,"Internalizing lessons will improve lesson delivery, increase student engagement and maximizes limited time. ",This training better prepared me to support students during summer school. ,
Participant 431,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Social Studies,Campus M,4,4,4,4,4,how to use zern and Amira to support students,,
Participant 516,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Social Studies,Campus M,4,4,4,4,4,learned how to use Amira and zern to support students,,
Participant 400,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Elementary ,Mathematics,Campus O,5,5,5,5,5,How to assign the lessons to math current curriculum. ,N/A,
Participant 476,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus O,5,5,5,5,5,Hb1416 is being done via LSAE time,,
Participant 334,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus D,5,5,5,5,5,The ability to use the Amplify Boost program ,,
Participant 393,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Mathematics,Campus D,5,5,5,5,5,How to monitor zesty on Tuesday and Thursday ,,
Participant 497,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Mathematics,Campus D,5,5,5,5,5,Zearn on Tuesdays and Thursday,,
Participant 491,5/28/2025,Summer School Training for Teachers of PreK ,Dana,High,Social Studies,Campus V,5,5,5,5,5,NA,NA,
Participant 416,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Elementary ,Science,Campus P,5,3,4,5,5,"Lessons are easy to access, designed to support and cover key TEKS",,
Participant 370,5/28/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,Summer school,Campus P,5,5,5,5,5,Pre k curriculum ,,
Participant 530,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,Summer School,Campus P,5,5,5,5,5,Accessing and properly executing lessons at the kinder level,,
Participant 428,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus P,5,5,5,5,5,Navigation of ora and zearn,,
Participant 439,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus P,5,5,5,5,5,The days' schedule plan & Zearn implementation. ,,
Participant 504,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus P,4,4,4,4,4,Amira and following the student’s progress ,N/A,
Participant 294,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus R,5,5,5,5,5,how to track amira lessons,,
Participant 301,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus R,4,4,4,4,4,AMIRA,AMIRA,
Participant 420,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus R,5,5,5,5,5,Summer school lsae,,
Participant 474,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Social Studies,Campus R,4,4,4,5,5,Amira and Zearn are great apps to help the students.,,
Participant 306,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus R,5,5,5,5,5,how to track reading progress and certificates ,,
Participant 502,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Raul,Elementary ,"Math, SOR, -Science",Campus R,3,4,3,2,1,Tools like Amira will support my students in reading and Zern will support them in Math.,Session was a little too fast for me. I don't teach during the regular school year. ,
Participant 376,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Mathematics,Campus G,5,5,5,5,5,Student packets will be made weekly to help teachers manage the workload,,
Participant 358,5/28/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,generalist,Campus O,5,5,5,5,5,age of learning,,
Participant 385,5/28/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,Pre K summer School,Campus O,5,5,5,5,5,How to fill paperwork and testing,NA,
Participant 328,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus G,5,5,5,5,5,How to navigate Boost and  the grading rubric ,N/a,
Participant 535,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Special Education ,Campus N,4,4,4,4,4,How to use Zearn and Amira. ,,
Participant 397,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus N,4,4,4,4,4,Lesson breakdown/Boost,,
Participant 514,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus N,5,5,5,5,5,About boost amplify and how to make it fun and engaging for students. Also that Amira can be done in both in and Spanish  ,Awesome training. ,
Participant 377,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Self-Contained,Campus P,5,5,5,5,5,Amira - I have never heard of it.,,
Participant 450,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Self Contained ,Campus P,4,4,3,3,4,Zern will support students math learning.,,
Participant 493,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Summer School GR 1/2,Campus P,5,5,5,5,5,Everything.  I teach Pre-K now.,None at this time.,
Participant 443,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Science of Reading,Campus P,5,5,5,5,5,Learning how to track students reports through zearn and Amira ,Great Session clear information ,
Participant 113,5/28/2025,Summer School Training for Teachers of PreK ,Angela,High,Mathematics,Campus W,4,4,4,4,4,N/a,,
Participant 411,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Raul,Elementary ,"Math, reading, writing, science, social studies ",Campus P,5,5,5,5,5,How to access digital content ,,
Participant 421,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Elementary ,Mathematics,Campus P,4,4,4,4,4,Curriculum,NA,
Participant 496,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus P,4,4,4,4,4,Amira training ,,
Participant 538,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus P,3,3,3,3,3,Na,,
Participant 539,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus P,3,3,3,3,3,Zearn,,
Participant 460,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Devin,Middle ,ICS,Campus N,3,4,4,5,5,Amir learning,,
Participant 482,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Mathematics,Campus N,4,3,3,3,3,Zearn assignments ,,
Participant 490,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Middle ,Science,Campus N,5,5,5,5,5,How to monitor zearn to make sure students are actively engaged,,
Participant 338,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,Mathematics,Campus W,5,5,5,5,5,The slide decks have amazing resources for success teaching.,N/a,
Participant 345,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Social Studies,Campus W,5,5,5,5,4,Access to the curriculum slides.,None,
Participant 366,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Science,Campus W,5,5,4,5,4,"Summer Content, MRS, Summer curriculum",I am learn how to break down complex biology concepts.,
Participant 512,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Raul,Elementary ,All Content,Campus R,3,3,3,3,3,What to look for on Amira,Great Job!,
Participant 409,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus R,4,4,4,4,4,Summer school curriculum ,None,
Participant 432,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Art of Thinking,Campus R,5,5,5,5,5,One key learning from today's session is ensuring that I internalize my lessons prior to going live with my summer school students.,None at this time.,
Participant 356,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Science,Campus Q,5,5,5,5,5,The usage of Zearn.,The echo was bad.,
Participant 373,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Science,Campus Q,5,5,5,5,5,N/a,,
Participant 434,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Art of Thinking,Campus Q,5,5,5,5,5,I learned about Amir for reading,,
Participant 456,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus Q,5,5,5,5,5,Almira,,
Participant 336,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,ELAR/English,Campus X,4,4,4,4,4,"All materials are aligned, including intervention, to guarantee success of all students.",,
Participant 369,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Special Education,Campus X,5,5,5,5,5,Documentation,,
Participant 536,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,Social Studies,Campus X,5,5,5,5,5,How the summer curriculum was designated to see the students succeed. ,,
Participant 472,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus R,5,5,5,5,4,Navigation through canvas to get to necessary resources for each subject.,,
Participant 352,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus Q,5,5,5,5,5,I really enjoyed the overall review of what summer school will look like. The Boost training was really good. ,N/A,
Participant 355,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus Q,5,5,5,5,3,The general overview of the day.,,
Participant 308,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,Summer School Kindergarden,Campus L,5,5,5,5,5,Summit K-12,,
Participant 316,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,summer Content,Campus L,5,5,5,5,5,"On track, curriculum ",Excellent presentation and very clear,
Participant 344,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,Summer school ,Campus L,5,5,5,5,5,Summit k-12,,
Participant 430,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,Mathematics,Campus L,5,5,5,5,5,"Amira, support students in reading ",,
Participant 444,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Science,Campus L,5,5,5,5,5,Amira,,
Participant 467,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Mathematics,Campus L,5,5,5,5,5,Amira and Zearn expectations for summer school.,none,
Participant 483,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Summer School,Campus L,5,5,5,5,5,Enrolling in the Summer Course will allow me to have all the curriculum that I will need to teach this summer.,,
Participant 292,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus L,5,5,5,5,5,How to use programs,,
Participant 382,5/28/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,ELAR/English,Campus L,5,5,5,5,5,The lesson planning ideas.,,
Participant 462,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Learning Coach,Campus L,5,5,5,5,5,Amira,N/A,
Participant 498,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Self contained ,Campus L,5,5,5,5,5,Use Amira for reading ,,
Participant 500,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus L,4,4,4,5,5,having the students to use technology as i work in small group and having that data to gage where they are academically ,very helpful information,
Participant 518,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,All Subjects,Campus L,5,5,5,5,5,"In Zean and Amira is very important to have a Tracking Report, so can we observe status of our class. It would help us as teachers to determine the help for students. Also, everyday we need to engage students in daily learning. Thank you,",Thank you so much! It was very helpful this session and very well explained. Have a nice day!,
Participant 403,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Science,Campus X,4,4,4,4,4,To make sure to keep a tracker for the students,,
Participant 418,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,Math Success,Campus X,5,5,5,5,5,"Having the curriculum along with pace, sequencing, and the tools at are disposal should make summer school very efficient and successful. ",,
Participant 340,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,Science,Campus Y,5,5,5,5,5,"Teach towards the DOL, ensure that you use resources they are there to help.",,
Participant 346,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,ELAR/English,Campus Y,5,5,5,5,5,Teacher notes are really helpful with internalization and implementation ,Awesome energy and thankful  for the information ,
Participant 354,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Science,Campus Y,4,4,4,4,4,DOL grading ,,
Participant 375,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,ELAR/English,Campus Y,5,5,5,5,5,Lesson internalization and planning,None at this time!,
Participant 379,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,ELAR/English,Campus Y,5,5,5,5,5,curriculum guide ,Christina M.C  was great she explain everything well! ,
Participant 296,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus L,4,5,4,5,5,The Amira Program in HMH,,
Participant 303,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus J,5,4,5,5,5,"I especially appreciated the break out rooms which gave background information regarding how we will us our supplemental resources, such as Amira, Zearn, and Boost.",Thank you kindly.,
Participant 435,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Teacher Apprentice,Campus J,5,5,5,5,5,Other ways to use Zearn and Amira,,
Participant 505,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Science,Campus J,5,5,5,5,5,Zearn and Amira,None,
Participant 391,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Science,Campus Y,5,5,5,5,5,Content Challenge will help me internalize my lessons EARLY,N/A,
Participant 508,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Josh,Elementary ,ELAR/English,Campus J,5,5,5,5,5,Amira,,
Participant 307,5/28/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,Summer School - Kinder,Campus J,5,5,5,5,5,Providing presentation,,
Participant 319,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,ELAR/English,Campus J,5,5,5,5,5,I learned that there is no SA everyday ,,
Participant 326,5/28/2025,Teacher  Summer School GK Curriculum  ,Dana,Elementary ,ECC,Campus J,5,5,5,5,5,Curriculum ,N/A,
Participant 330,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,Summer School,Campus J,5,5,5,5,5,No SA every day and read the teacher notes,,
Participant 341,5/28/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,"Math, SS and Science  kindergarten Summer School",Campus J,5,5,5,5,5,Curriculum ,,
Participant 412,5/28/2025,Teacher  Summer School GK Curriculum  ,Christopher,Elementary ,Summer School,Campus J,5,5,5,5,5,Student activities are not everyday. ,,
Participant 291,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,ELAR/English,Campus J,5,5,5,5,5,How to work Amira,,
Participant 297,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus J,3,4,4,4,4,I learned about Amira and how to apply it for students to practice listening and speaking ,,
Participant 315,5/28/2025,Teacher  Summer School GK Curriculum  ,Randy,Elementary ,summer school,Campus J,5,5,5,5,5,Where can I find the reports and the scoring categories and what it means.,,
Participant 429,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Elementary ,Mathematics,Campus J,3,3,3,3,3,The instructional tools presented will support scholars to be successful. ,,
Participant 371,5/28/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,ELAR/English,Campus I,5,4,5,5,5,None,None,
Participant 406,5/28/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,Reading and Math PreK,Campus I,4,5,4,4,4,PreK schedule and guide,,
Participant 408,5/28/2025,Summer School Training for Teachers of PreK ,Crystal,Elementary ,ECC,Campus I,5,5,5,5,5,None,,
Participant 389,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Core subjects of 1st and 2nd grade ,Campus I,5,5,5,5,5,How to properly use Amira and Zearn resources,No ,
Participant 426,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus I,5,5,5,5,5,Amira and Zearn tracker,,
Participant 501,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Mathematics,Campus I,4,4,4,4,4,"""One important takeaway from today’s session is learning how to use my ZEARN reports to better support my students.""",,
Participant 487,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Mathematics,Campus T,4,5,5,5,5,zearn,,
Participant 459,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,PE,Campus I,5,5,5,5,5,Amira ,,
Participant 479,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus I,3,3,3,3,3,Be present ,,
Participant 522,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Elementary ,ELAR/English,Campus I,5,5,5,5,5,"How to effectively deliver instruction, even when using programs such as Amira. ",,
Participant 510,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus F,5,5,5,5,5,Zern ,,
Participant 478,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus F,5,5,5,5,5,The structure of the day,Great CPD,
Participant 488,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Raul,Elementary ,ELAR/English,Campus F,5,5,5,5,5,I learned about Amira. ,,
Participant 499,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Mathematics,Campus F,4,4,4,4,4,Zearn,,
Participant 304,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus F,5,5,5,5,5,Operate Amira.,,
Participant 323,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus T,5,5,5,5,5,Amplify boost ,,
Participant 327,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,ELAR/English,Campus T,5,5,5,5,5,How to use boost amplify ,NA,
Participant 353,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus T,5,5,5,5,5,The entire session was a key component to equip us in preparation for summer school.,,
Participant 402,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Mathematics,Campus E,5,5,5,5,5,How to use amira for reading ,,
Participant 360,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,All,Campus T,5,5,5,5,5,Keep the students engaged!,,
Participant 361,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Mathematics,Campus T,4,4,4,4,4,I learned the features of Boost that will allow my students to be engaged in learning.,N/A,
Participant 437,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Randy,Middle ,Reading Success,Campus T,5,5,5,5,5,Online resources ,,
Participant 458,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Social Studies,Campus T,5,5,5,5,5,How to award badges in Amira,N/A,
Participant 489,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Science,Campus E,5,5,5,5,5,Zearn instruction and student usage for success ,,
Participant 466,5/28/2025,Teacher  Summer School GK Curriculum  ,Angela,Middle ,ELAR/English,Campus T,5,5,5,5,5,celebrate your students!,Great info! Thank you!,
Participant 471,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Science,Campus T,5,5,5,5,5,Good Zearn foundation ,,
Participant 485,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Mathematics,Campus T,5,5,5,5,5, , ,
Participant 302,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,Art of Thinking,Campus E,4,4,4,4,4,Learning about Amira,,
Participant 524,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,ELAR/English,Campus E,5,5,5,5,5,Summer Curriculum Documents ,,
Participant 422,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus D,5,5,5,5,5,Everything ,,
Participant 423,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Science of Reading,Campus D,5,5,3,3,4,Learned about Amirah ,None ,
Participant 468,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus D,5,5,5,5,5,Zearn,,
Participant 503,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Spe ed,Campus T,5,5,5,5,5,Using the curriculum ,,
Participant 339,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Social Studies,Campus Z,4,4,4,4,4,The importance of internalization,,
Participant 295,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,Mathematics,Campus D,5,5,5,5,5,How to use Amira ,,
Participant 293,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kristina,Elementary ,ELAR/English,Campus C,5,5,5,5,5,Amira progress report,,
Participant 380,5/28/2025,Teacher  Summer School G1 and G2 Curriculum,Mary,Elementary ,Summer school,Campus C,5,5,5,5,5,Access to Amira ,None,
Participant 453,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,London,High,Mathematics,Campus Z,5,5,5,5,5,Curriculum Guide,,
Participant 545,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Mathematics,Campus Z,5,5,5,5,5,Curriculum Guide,,
Participant 546,5/28/2025,Teacher  Summer School G9-G12 Curriculum  ,Josh,High,Mathematics,Campus Z,5,5,5,5,5,Curriculum Guide,,
Participant 321,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Aisha,Middle ,ELAR/English,Campus T,5,5,5,5,5,"Boost! All the features,  capabilities ","Great, a lot of information ",
Participant 362,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Kandy,Middle ,Science,Campus T,2,2,3,3,2,Pace and tower reports,,
Participant 481,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,inclusion (multiple areas),Campus T,5,5,4,5,5,"I learned the hours, schedules, and resources to use.",Thank you for your time and sharing the information.,
Participant 447,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Summer School,Campus U,4,5,5,5,4,How students can track their progress through zearn and amira,Please post handout ,
Participant 529,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Middle ,summer school G3-8,Campus U,5,5,5,5,5,"Making sure the students have pen and paper,trackers and  log off for Zearn          also using the DOL to place LSAE",Thank you.,
Participant 464,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Math Success,Campus C,5,5,5,5,5,Amira,,
Participant 449,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Middle ,Mathematics,Campus U,5,5,5,5,5,Badger for almira,,
Participant 521,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Tevin,Middle ,Special Ed Co-Teacher ,Campus U,4,4,4,4,3,Zearn and Amira deep dive.,Want support in knowing Sped Co-teach expectations for summer. ,
Participant 310,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Andi,Elementary ,ELAR/English,Campus B,5,4,5,5,4,"Amira is a valuable Reading tool, great for young scholars.",,
Participant 440,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Middle ,Social Studies,Campus U,5,5,5,5,5,The usage of Amera for students and teachers ,Great session!,
Participant 441,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,Mathematics,Campus B,5,4,5,5,5,How to access curriculum,,
Participant 455,5/28/2025,Teacher  Summer School G3-G8 Curriculum  ,Angela,Elementary ,ELAR/English,Campus B,5,5,5,4,4,Amira ,,
