Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 1157,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,All subjects ,Campus E,5,5,5,5,5,How to access resources and utilize resources ,N/a,
Participant 1170,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,Social Studies,Campus E,5,5,5,5,5,The curriculum is easy to understand and it was great to know things will be printed out ,,
Participant 1199,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,"Elementary-ELAR, Math, SS and Sci",Campus E,5,5,5,5,5,Navigating Summer School Curriculum ,,
Participant 1105,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Christopher,Elementary ,ELAR/English,Campus E,4,4,4,4,4,Accessing Amira,,
Participant 1031,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,ELAR/English,Campus E,4,4,3,4,4,Starting point,,
Participant 1210,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,Pre and post tests are great,,
Participant 1226,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Y,3,3,3,3,3,ontrack,,
Participant 1235,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,ELAR/English,Campus Y,5,5,5,5,5,How to maneuver through the lessons etc...,,
Participant 1250,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Learning coach,Campus Y,3,3,3,3,3,n/a,,
Participant 1271,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Y,4,4,4,4,4,one key learning from today's session would be using the support system provided because it would give for a smooth transition to provide optimital learning,,
Participant 1276,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Social Studies,Campus Y,5,5,5,5,5,Access to DOL,,
Participant 1283,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Teacher apprentice,Campus Y,4,3,2,2,3,enrolling in the summer school course,,
Participant 1290,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,students/teachers/staff summer school assistant,Campus Y,5,5,5,5,5,"entering attendance, to motivate students the more they come the better they do and get credit for it.",,
Participant 1074,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Chelly,Elementary ,Science,Campus E,5,5,5,5,5,how to use Amira ,,
Participant 1083,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Art of Thinking,Campus D,5,5,5,5,5,Curriculum best practices/ adaptive learning programs ,,
Participant 1087,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Special Education,Campus D,5,5,5,5,5,Amira,,
Participant 1095,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Science,Campus D,5,5,5,5,5,"Curriculum, Zearn and how to change my role for the summer. ",,
Participant 1174,6/9/2025,Teacher  Summer School G1 and G2 Curriculum,Andi,Elementary ,ELAR/English,Campus D,5,5,5,5,5,Digital resources for Amira and Zearn. ,N/A,
Participant 1224,6/9/2025,Teacher  Summer School G9-G12 Curriculum  ,Juan,High,Science,Campus Z,5,5,5,5,5,Familiarity with the curriculum documents; HB1416,,
Participant 1084,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus C,5,5,5,5,5,How to trouble shoot for problems with Amira,,
Participant 1108,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,ELAR/English,Campus C,5,5,5,5,5,Amira tracking ,Very informative ,
Participant 1129,6/9/2025,Teacher  Summer School G3-G8 Curriculum  ,Angel,Elementary ,Mathematics,Campus C,5,5,5,5,5,"Continue to scaffold, reteach, etc for students. ",,
